date;setor;codigo;acao;tipo;qtde_teorica;part_percent;part_acum_percent
18/03/2025;Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;779999989.0;1.474;16.231
18/03/2025;Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1198936529.0;0.104;16.231
18/03/2025;Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON  ED  NM;1090134379.0;0.905;16.231
18/03/2025;Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1023538460.0;0.863;16.231
18/03/2025;Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;370735677.0;0.362;1.585
18/03/2025;Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1286616979.0;1.223;1.585
18/03/2025;Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON  ED  NM;455988366.0;0.254;2.352
18/03/2025;Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4779395040.0;0.521;2.352
18/03/2025;Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1145289019.0;1.577;2.352
18/03/2025;Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;389635155.0;0.049;0.915
18/03/2025;Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;540206440.0;0.866;0.915
18/03/2025;Telecomunicação;VIVT3;TELEF BRASIL;ON;382442128.0;0.938;1.604
18/03/2025;Telecomunicação;TIMS3;TIM;ON      NM;807495418.0;0.666;1.604
18/03/2025;Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;683508568.0;3.272;3.272
18/03/2025;Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;323738747.0;0.12;11.659
18/03/2025;Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1858636840.0;0.99;11.659
18/03/2025;Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1679233590.0;0.83;11.659
18/03/2025;Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187732538.0;0.335;11.659
18/03/2025;Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1977170723.0;3.804;11.659
18/03/2025;Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;268875696.0;0.565;11.659
18/03/2025;Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;326175300.0;0.645;11.659
18/03/2025;Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1929556616.0;1.154;11.659
18/03/2025;Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255236938.0;0.468;11.659
18/03/2025;Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1253541010.0;1.955;11.659
18/03/2025;Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN  EJ  N1;395801044.0;0.435;11.659
18/03/2025;Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218568234.0;0.358;11.659
27/03/2025;Bens Indls / Máqs e Equips;WEGE3;WEG;ON  EJ  NM;1243177587.0;2.732;2.732
27/03/2025;Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734631801.0;2.395;2.615
27/03/2025;Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;666378439.0;0.22;2.615
27/03/2025;Bens Indls/Transporte;AZUL4;AZUL;PN      N2;326872005.0;0.054;2.12
27/03/2025;Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;991920937.0;0.555;2.12
27/03/2025;Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1216914397.0;0.977;2.12
27/03/2025;Bens Indls/Transporte;STBP3;SANTOS BRP;ON      NM;855712622.0;0.534;2.12
27/03/2025;Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;814523002.0;0.755;3.335
27/03/2025;Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1145962972.0;2.136;3.335
27/03/2025;Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;302019876.0;0.246;3.335
27/03/2025;Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261359935.0;0.071;3.335
27/03/2025;Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;128130966.0;0.127;3.335
